item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,milk_options,matcha_grade_claim,menu_source,menu_url,date_collected
ITM043,SEA004,Coconut Matcha Cloud,Matcha Latte,Coconut,FALSE,TRUE,12oz;16oz,$7.50,$8.50,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM044,SEA004,Calamansi Matcha Soda,Matcha Soda,Calamansi,FALSE,TRUE,12oz;16oz,$5.75,$6.75,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM045,SEA004,Banana Bread Matcha Latte,Matcha Latte,Banana,TRUE,TRUE,16oz,$8.50,$8.50,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM046,SEA004,Taiyaki Cone,Matcha Dessert,Original,,,,$8.50,$8.50,,,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM047,SEA004,Taiyaki Box,Matcha Dessert,Original,,,,$9.00,$9.00,,,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM048,SEA004,Soft Serve Box,Matcha Dessert,Original,,,,$7.00,$7.00,,,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM049,SEA005,Matcha Cloud,Matcha Latte,Coconut,FALSE,TRUE,16oz,$6.50,$6.50,Coconut,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM050,SEA005,Matcha O Latte,Matcha Latte,Original,TRUE,TRUE,16oz,$7.25,$7.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM051,SEA005,Matcha Banana Latte,Matcha Latte,Banana,TRUE,TRUE,16oz,$8.25,$8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM052,SEA005,Matcha Strawberry Latte,Matcha Latte,Strawberry,TRUE,TRUE,16oz,$8.25,$8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM053,SEA005,Matcha Mango Latte,Matcha Latte,Mango,TRUE,TRUE,16oz,$8.25,$8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM054,SEA005,Matcha Salted Cheese Latte,Matcha Latte,Original,TRUE,TRUE,16oz,$8.25,$8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM055,SEA005,Matcha Non-Dairy Latte,Matcha Latte,Original,TRUE,TRUE,16oz,$8.25,$8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM056,SEA005,Matcha Cream Brulee Latte,Matcha Latte,Cream Brulee,TRUE,TRUE,16oz,$8.25,$8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM057,SEA005,Matcha Salted Egg Yolk Latte,Matcha Latte,Salted Egg Yolk,TRUE,TRUE,16oz,$8.50,$8.50,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM058,SEA005,Matcha Sesame Latte,Matcha Latte,Sesame,TRUE,TRUE,16oz,$8.25,$8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM059,SEA005,Double Matcha Latte,Matcha Latte,Original,TRUE,TRUE,16oz,$8.25,$8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
ITM060,SEA005,Matcha Taro/Ube Latte,Matcha Latte,Taro Ube,TRUE,TRUE,16oz,$8.25,$8.25,Oat,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-28
