item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,milk_options,matcha_type_claim,menu_source,menu_url,date_collected,price_is_starting,extraction_evidence,review_status
SEA005-AI-012,SEA005,Matcha Taro/Ube Latte,Matcha Latte,Taro; Ube,,True,,8.25,8.25,,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Taro/Ube Latte - $8.25; taro ube foam.,Reviewed
SEA005-AI-013,SEA005,Matcha Cloud,Matcha,,,True,,6.5,6.5,,,Official Website,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,2026-08-29,False,Matcha Cloud - $6.50,Reviewed
SEA006-AI-001,SEA006,Ceremonial Matcha,Matcha,Original,,True,,,,,Ceremonial,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Our ceremonial matcha traditionally prepared with water.,Reviewed
SEA006-AI-002,SEA006,Matcha Latte,Matcha Latte,Original,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,"Matcha + milk, lightly sweetened.",Reviewed
SEA006-AI-003,SEA006,Strawberry Matcha Latte,Matcha Latte,Strawberry,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Matcha + house-made strawberry puree + milk.,Reviewed
SEA006-AI-004,SEA006,Matcha Horchata,Matcha Latte,Horchata,,True,,,,,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Matcha + house-made horchata.,Reviewed
SEA006-AI-005,SEA006,Toasted MatchaMallow Latte,Matcha Latte,Toasted Marshmallow,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Matcha + marshmallow + milk + toasted marshmallow.,Reviewed
SEA006-AI-006,SEA006,Matcha Colada,Matcha Latte,Pineapple; Coconut,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Matcha + house-made pineapple puree + coconut + milk.,Reviewed
SEA006-AI-007,SEA006,Purple Rain,Matcha Latte,Lavender; Ube,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Lavender + ube + milk + matcha sweet cream.,Reviewed
SEA006-AI-008,SEA006,Matcha Lemonade,Matcha,Lemon,,True,,,,,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Matcha + lemonade.,Reviewed
SEA006-AI-009,SEA006,Double Matcha,Matcha Latte,Original,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Matcha + milk + matcha sweet cream.,Reviewed
SEA006-AI-010,SEA006,Banana Cream Matcha,Matcha Latte,Banana; Cinnamon,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Matcha + milk + banana sweet cream + dash of cinnamon.,Reviewed
SEA006-AI-011,SEA006,Matcha Magic Latte,Matcha Latte,Original,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,"Matcha + cordyceps + lion's mane + milk, lightly sweetened.",Reviewed
SEA006-AI-012,SEA006,Magic Mocha,Matcha Latte,Cacao; Vanilla; Cinnamon,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Matcha + cacao + maca + reishi + vanilla + cinnamon + milk.,Reviewed
SEA006-AI-013,SEA006,Caramel Maca-iato,Matcha Latte,Caramel; Vanilla,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Matcha + collagen + maca + reishi + vanilla + milk + caramel sauce.,Reviewed
SEA006-AI-014,SEA006,Blueberry Matcha,Matcha Latte,Blueberry; Lavender,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,Matcha + blue spirulina + blueberry puree + lavender + milk.,Reviewed
SEA006-AI-015,SEA006,Banana Matcha,Matcha Smoothie,Banana; Coconut,,True,,,,2%; Oat; Soy; Coconut; Almond,,Official Website,https://www.itsmatchamagic.com/menus/,2026-08-29,False,"Matcha, banana and organic milk, swirled with coconut cream.",Reviewed
